,side,result,golddiffat10,xpdiffat10,golddiffat15,xpdiffat15
6664,Blue,1,-1918.0,-304.0,-486.0,-1053.0
6666,Blue,0,-117.0,-215.0,-1384.0,-2574.0
6668,Blue,1,-1746.0,-1066.0,-48.0,-756.0
6670,Blue,1,-1932.0,-1127.0,-2791.0,-218.0
6672,Blue,0,-756.0,-143.0,-2805.0,-1153.0
6674,Blue,1,1185.0,200.0,2405.0,1637.0
6676,Blue,0,-1828.0,-916.0,-968.0,987.0
6678,Blue,0,-1733.0,-716.0,-1327.0,1195.0
6680,Blue,1,1839.0,1243.0,5311.0,2544.0
6682,Blue,0,-2079.0,-2154.0,-5064.0,-3087.0
6684,Blue,0,665.0,39.0,227.0,-1669.0
6686,Blue,0,1088.0,1234.0,2839.0,1545.0
6688,Blue,0,-710.0,-330.0,-121.0,35.0
6690,Blue,0,-391.0,-998.0,-4242.0,-1602.0
6692,Blue,0,-59.0,-1698.0,-2855.0,-2992.0
6694,Blue,1,1303.0,840.0,3480.0,3436.0
6696,Blue,1,-558.0,-244.0,455.0,-167.0
6698,Blue,0,-2122.0,-2279.0,-5258.0,-3467.0
6700,Blue,1,953.0,-651.0,2852.0,1552.0
6702,Blue,1,1981.0,1049.0,3991.0,2704.0
6704,Blue,1,-785.0,-1567.0,-476.0,-855.0
6706,Blue,1,274.0,-647.0,2012.0,790.0
6708,Blue,0,1111.0,1381.0,-17.0,-1078.0
6710,Blue,0,-608.0,-264.0,-2605.0,-2312.0
6712,Blue,0,59.0,581.0,1244.0,1501.0
6714,Blue,0,-1117.0,-2450.0,-1888.0,-4377.0
6716,Blue,0,-332.0,39.0,-1488.0,-240.0
6718,Blue,1,1579.0,-160.0,3689.0,1347.0
6720,Blue,1,1451.0,932.0,2773.0,1552.0
6722,Blue,0,-1738.0,-2184.0,-1646.0,-3347.0
6724,Blue,0,106.0,784.0,-2855.0,-2171.0
6726,Blue,1,2446.0,538.0,4000.0,2063.0
6728,Blue,0,-853.0,-1338.0,-434.0,-619.0
6730,Blue,1,2828.0,950.0,3660.0,2477.0
6732,Blue,1,1847.0,896.0,3017.0,801.0
6734,Blue,1,-91.0,505.0,2124.0,2750.0
6736,Blue,1,-272.0,-479.0,2635.0,259.0
6738,Blue,1,1640.0,1291.0,1694.0,1393.0
6740,Blue,0,3.0,395.0,-2319.0,-2006.0
6742,Blue,1,214.0,-560.0,3126.0,1570.0
6744,Blue,0,427.0,1497.0,-969.0,-1187.0
6746,Blue,1,983.0,227.0,2699.0,1075.0
6748,Blue,1,1524.0,-593.0,1295.0,-435.0
6750,Blue,0,-1332.0,-1245.0,-3488.0,-2814.0
6752,Blue,1,1961.0,1843.0,2941.0,2017.0
6754,Blue,1,-66.0,952.0,2106.0,1139.0
6756,Blue,1,-1760.0,-605.0,-2372.0,-1800.0
6758,Blue,1,-381.0,-177.0,1854.0,850.0
6760,Blue,1,-56.0,261.0,2742.0,1212.0
6762,Blue,0,739.0,55.0,-1243.0,-1400.0
6764,Blue,1,3172.0,2964.0,7476.0,6520.0
6766,Blue,0,-3242.0,-1930.0,-6045.0,-2738.0
6768,Blue,0,-367.0,-116.0,-2469.0,-1491.0
6770,Blue,0,-204.0,182.0,1022.0,496.0
6772,Blue,1,-1287.0,-1040.0,-968.0,746.0
6774,Blue,1,1164.0,504.0,3330.0,465.0
6776,Blue,1,213.0,54.0,596.0,-153.0
6778,Blue,0,-2849.0,-2428.0,-2354.0,-101.0
6780,Blue,1,761.0,-242.0,-793.0,-653.0
6782,Blue,1,-152.0,-650.0,2198.0,1819.0
6784,Blue,0,7.0,-1069.0,764.0,-2265.0
6786,Blue,1,341.0,-1155.0,4949.0,1346.0
6788,Blue,0,2036.0,1775.0,552.0,348.0
6790,Blue,0,138.0,-271.0,-287.0,-444.0
6792,Blue,0,-1735.0,-365.0,-3088.0,266.0
6794,Blue,0,285.0,924.0,-326.0,685.0
6796,Blue,1,-336.0,-41.0,-1040.0,-176.0
6798,Blue,0,-725.0,-707.0,-2470.0,-1892.0
6800,Blue,1,2543.0,1315.0,4084.0,1903.0
6802,Blue,1,-188.0,-521.0,451.0,-1378.0
6804,Blue,1,369.0,-403.0,-48.0,1064.0
6806,Blue,1,1650.0,688.0,2806.0,626.0
6808,Blue,1,2961.0,1264.0,6181.0,3795.0
6810,Blue,1,1271.0,-36.0,3958.0,2795.0
6812,Blue,1,-316.0,-1050.0,-876.0,-694.0
6814,Blue,1,-1288.0,-383.0,-2901.0,-2737.0
6816,Blue,1,-469.0,-1012.0,-1361.0,-409.0
6818,Blue,1,425.0,-151.0,-2219.0,-1420.0
6820,Blue,1,1000.0,872.0,1500.0,1056.0
6822,Blue,1,1301.0,1532.0,3115.0,1439.0
6824,Blue,0,-329.0,18.0,-2144.0,-2226.0
6826,Blue,0,-2235.0,-1929.0,-4623.0,-4010.0
6828,Blue,1,-1206.0,-223.0,-1380.0,-109.0
6830,Blue,1,1147.0,626.0,1606.0,-3.0
6832,Blue,0,199.0,386.0,679.0,262.0
6834,Blue,0,-809.0,-628.0,-2698.0,-1700.0
6836,Blue,1,-38.0,714.0,1675.0,3110.0
6838,Blue,0,1176.0,124.0,3500.0,2154.0
6840,Blue,1,400.0,323.0,3110.0,2732.0
6842,Blue,1,-712.0,-247.0,1085.0,-664.0
6844,Blue,0,-637.0,-954.0,-54.0,-899.0
6846,Blue,1,-182.0,1164.0,1127.0,3212.0
6848,Blue,0,-208.0,-850.0,3499.0,1317.0
6850,Blue,0,-1731.0,-1074.0,-1009.0,1153.0
6852,Blue,0,-2340.0,-1386.0,-2916.0,-3257.0
6854,Blue,1,578.0,760.0,-945.0,53.0
6856,Blue,0,-686.0,157.0,164.0,-392.0
6858,Blue,0,-1126.0,-604.0,-3066.0,-3316.0
6860,Blue,1,944.0,1446.0,1044.0,1956.0
6862,Blue,1,854.0,447.0,756.0,-881.0
6864,Blue,1,1309.0,434.0,1699.0,-158.0
6866,Blue,0,-687.0,99.0,-1063.0,-2533.0
6868,Blue,0,-1061.0,324.0,-1376.0,-1021.0
6870,Blue,1,-1599.0,-117.0,-1687.0,-166.0
6872,Blue,1,400.0,511.0,2895.0,1812.0
6874,Blue,1,301.0,483.0,2741.0,3215.0
6876,Blue,0,1571.0,942.0,3119.0,1749.0
6878,Blue,0,-809.0,-826.0,-563.0,-402.0
6880,Blue,0,-556.0,-1291.0,291.0,-3137.0
6882,Blue,0,269.0,3.0,-2677.0,-1829.0
6884,Blue,0,-1143.0,-823.0,-3396.0,-3950.0
6886,Blue,1,-818.0,-1488.0,-684.0,-216.0
6888,Blue,1,387.0,1084.0,1258.0,-360.0
6890,Blue,1,-1611.0,-186.0,-627.0,-613.0
6892,Blue,1,-151.0,356.0,-1247.0,367.0
6894,Blue,0,10.0,759.0,-275.0,-319.0
6896,Blue,1,-408.0,-821.0,143.0,-2196.0
6898,Blue,0,-2162.0,-2272.0,-7707.0,-6495.0
6900,Blue,1,533.0,-5.0,5186.0,2919.0
6902,Blue,0,-2276.0,-2239.0,-6193.0,-5169.0
6904,Blue,1,3244.0,2574.0,3304.0,657.0
6906,Blue,1,1261.0,202.0,1021.0,-832.0
6908,Blue,0,1777.0,755.0,2694.0,1321.0
6910,Blue,0,-590.0,-346.0,1028.0,140.0
6912,Blue,0,166.0,-217.0,-1629.0,-2142.0
6914,Blue,1,3943.0,2614.0,6908.0,5445.0
6916,Blue,1,28.0,-144.0,2965.0,1580.0
6918,Blue,1,2926.0,1376.0,2836.0,-257.0
6920,Blue,1,2201.0,1960.0,4346.0,3522.0
6922,Blue,1,1038.0,1053.0,2534.0,1711.0
6924,Blue,1,3243.0,2288.0,1747.0,-2332.0
6926,Blue,0,1115.0,637.0,1405.0,1015.0
6928,Blue,1,-545.0,772.0,-715.0,677.0
6930,Blue,1,427.0,-299.0,1432.0,365.0
6932,Blue,0,-1557.0,-1627.0,-4361.0,-5090.0
6934,Blue,0,721.0,286.0,-743.0,-866.0
6936,Blue,1,1026.0,936.0,3043.0,-58.0
6938,Blue,1,1777.0,4.0,1711.0,655.0
6940,Blue,1,823.0,598.0,2204.0,2864.0
6942,Blue,1,-252.0,-1249.0,-1253.0,47.0
6944,Blue,0,-333.0,636.0,-1289.0,1256.0
6946,Blue,0,-1585.0,-489.0,-3714.0,-934.0
6948,Blue,1,244.0,861.0,135.0,-337.0
6950,Blue,1,1508.0,1390.0,4270.0,3746.0
6952,Blue,1,875.0,282.0,529.0,639.0
6954,Blue,1,819.0,-840.0,3176.0,891.0
6956,Blue,1,1315.0,1345.0,1789.0,-13.0
6958,Blue,1,-221.0,246.0,-73.0,-488.0
6960,Blue,1,-353.0,98.0,-1118.0,732.0
6962,Blue,0,-400.0,-1090.0,-1418.0,-1153.0
6964,Blue,0,-2158.0,-577.0,-3648.0,-493.0
6966,Blue,0,996.0,1631.0,1568.0,966.0
6968,Blue,1,303.0,-268.0,-467.0,-1612.0
6970,Blue,1,65.0,-572.0,-1023.0,-178.0
6972,Blue,1,550.0,-381.0,2169.0,150.0
6974,Blue,1,-485.0,-5.0,-1145.0,-398.0
6976,Blue,1,,,,
6978,Blue,1,408.0,-429.0,-960.0,-3375.0
6980,Blue,1,1060.0,757.0,1883.0,780.0
6982,Blue,1,1558.0,696.0,4692.0,4300.0
6984,Blue,0,,,,
6985,Blue,0,-990.0,-300.0,-2341.0,-753.0
6988,Blue,0,-652.0,-660.0,-428.0,448.0
6990,Blue,0,1375.0,-1046.0,906.0,-2366.0
6992,Blue,1,1999.0,1195.0,2572.0,1310.0
6994,Blue,0,-2126.0,-969.0,-2094.0,-135.0
6996,Blue,0,-2437.0,-2249.0,-4322.0,-3117.0
6998,Blue,1,420.0,684.0,780.0,1481.0
7000,Blue,1,-699.0,-455.0,2065.0,1421.0
7002,Blue,0,-1047.0,-606.0,-826.0,432.0
7004,Blue,1,2859.0,454.0,2798.0,955.0
7006,Blue,1,1604.0,985.0,2683.0,227.0
7008,Blue,0,-962.0,406.0,1216.0,968.0
7010,Blue,1,2324.0,1903.0,4676.0,3625.0
7012,Blue,0,-1584.0,-894.0,-7328.0,-4543.0
7014,Blue,0,-3143.0,-811.0,-2799.0,-600.0
7016,Blue,1,-5.0,-193.0,699.0,3068.0
7018,Blue,0,-450.0,-906.0,748.0,750.0
7020,Blue,0,-1731.0,-1620.0,-2367.0,-2910.0
7022,Blue,0,-1411.0,44.0,-1722.0,-1525.0
7024,Blue,1,764.0,707.0,-1512.0,-219.0
7026,Blue,1,1713.0,540.0,2848.0,458.0
7028,Blue,1,-579.0,-316.0,2649.0,2132.0
7030,Blue,0,-5.0,529.0,130.0,365.0
7032,Blue,1,-146.0,-485.0,263.0,-1198.0
7034,Blue,0,-855.0,-953.0,-1800.0,-816.0
7036,Blue,1,150.0,-86.0,-3101.0,-2156.0
7038,Blue,0,1457.0,1542.0,2990.0,3356.0
7040,Blue,1,216.0,-212.0,-205.0,-1281.0
7042,Blue,0,-159.0,568.0,884.0,2100.0
7044,Blue,0,-497.0,-372.0,1254.0,484.0
7046,Blue,1,347.0,1121.0,204.0,-590.0
7048,Blue,0,1009.0,375.0,-651.0,-2444.0
7050,Blue,0,-220.0,-324.0,-251.0,434.0
7052,Blue,0,-187.0,-480.0,990.0,101.0
7054,Blue,0,-1619.0,-2015.0,-3040.0,-3938.0
7056,Blue,0,-1273.0,153.0,-2785.0,-1171.0
7058,Blue,0,-163.0,-949.0,288.0,-1387.0
7060,Blue,1,1968.0,313.0,3863.0,320.0
7062,Blue,0,-1749.0,-2398.0,-3279.0,-2206.0
7064,Blue,1,2133.0,2257.0,8585.0,4110.0
7066,Blue,1,-1906.0,1115.0,-261.0,2284.0
7068,Blue,1,,,,
7070,Blue,1,-1104.0,-11.0,-510.0,-732.0
7072,Blue,0,723.0,-631.0,-408.0,-2087.0
7073,Blue,1,1481.0,321.0,2988.0,3083.0
7076,Blue,1,1480.0,688.0,3151.0,345.0
7078,Blue,1,1563.0,978.0,4875.0,4101.0
7080,Blue,1,702.0,-300.0,2653.0,-147.0
7082,Blue,1,1838.0,1219.0,5146.0,4972.0
7084,Blue,0,-988.0,-952.0,-2305.0,-345.0
7086,Blue,1,295.0,1235.0,-80.0,-545.0
7088,Blue,0,-2042.0,-1372.0,-4482.0,-2299.0
7090,Blue,1,520.0,714.0,1491.0,324.0
7092,Blue,0,725.0,-902.0,2845.0,1304.0
7094,Blue,1,-1306.0,-205.0,161.0,-539.0
7096,Blue,0,353.0,-824.0,2339.0,327.0
7098,Blue,1,201.0,-1211.0,-1943.0,-2546.0
7100,Blue,0,-849.0,-1155.0,430.0,-1983.0
7102,Blue,1,3105.0,2058.0,7746.0,4305.0
7104,Blue,0,-172.0,-848.0,-2234.0,-1015.0
7106,Blue,1,-408.0,75.0,941.0,-188.0
7108,Blue,0,-1060.0,-1275.0,-3299.0,-2547.0
7110,Blue,0,144.0,-215.0,398.0,-3031.0
7112,Blue,1,2054.0,1949.0,4155.0,1632.0
7114,Blue,1,-736.0,264.0,-335.0,-1359.0
7116,Blue,0,-780.0,-1055.0,-928.0,-3865.0
7118,Blue,1,3183.0,1482.0,4399.0,1776.0
7120,Blue,0,332.0,364.0,542.0,-437.0
7122,Blue,1,3895.0,3221.0,5705.0,4921.0
7124,Blue,0,-287.0,-283.0,368.0,-820.0
7126,Blue,1,-2838.0,-1950.0,-4221.0,-2629.0
7128,Blue,0,1574.0,144.0,260.0,-3021.0
7130,Blue,1,,,,
7132,Blue,0,-2461.0,-2175.0,-5667.0,-3691.0
7134,Blue,1,4433.0,2448.0,7152.0,3855.0
7136,Blue,1,-1097.0,-480.0,-274.0,-1184.0
7138,Blue,1,-676.0,-228.0,554.0,2075.0
7140,Blue,0,-42.0,-574.0,-355.0,-2347.0
7142,Blue,1,2789.0,565.0,5066.0,1921.0
7144,Blue,0,-926.0,-2421.0,-2430.0,-2361.0
7146,Blue,1,806.0,1564.0,2206.0,604.0
7148,Blue,1,1850.0,224.0,2029.0,476.0
7150,Blue,0,1999.0,2040.0,3914.0,2925.0
7152,Blue,1,1160.0,1000.0,2312.0,1245.0
7154,Blue,0,-675.0,-555.0,349.0,-485.0
7156,Blue,0,-1559.0,894.0,-1774.0,780.0
7158,Blue,1,-186.0,-545.0,835.0,-1434.0
7160,Blue,0,-309.0,-346.0,-343.0,-1637.0
7162,Blue,0,-2965.0,-2165.0,-4050.0,-2602.0
7164,Blue,1,3040.0,1607.0,3665.0,2781.0
7166,Blue,1,-197.0,-1155.0,-731.0,-1027.0
7168,Blue,0,-1053.0,771.0,-4342.0,-216.0
7170,Blue,0,20.0,-813.0,-3686.0,-4617.0
7172,Blue,0,320.0,387.0,-1388.0,-987.0
7174,Blue,1,224.0,601.0,1992.0,866.0
7176,Blue,1,2373.0,1227.0,2485.0,1487.0
7178,Blue,1,46.0,346.0,3944.0,1241.0
7180,Blue,1,-62.0,-86.0,1141.0,604.0
7182,Blue,0,-3697.0,-2772.0,-2654.0,-258.0
7184,Blue,1,-686.0,-140.0,-728.0,1061.0
7186,Blue,0,-702.0,-305.0,-2389.0,65.0
7188,Blue,1,2056.0,1386.0,1425.0,1291.0
7190,Blue,0,-332.0,-248.0,-530.0,-1091.0
7192,Blue,1,2553.0,1979.0,3343.0,260.0
7194,Blue,1,689.0,1408.0,958.0,1035.0
7196,Blue,1,-953.0,-1666.0,-2761.0,-3110.0
7198,Blue,1,1965.0,2214.0,4306.0,4003.0
7200,Blue,0,-925.0,-76.0,-1621.0,-2745.0
7202,Blue,1,-575.0,-370.0,-1684.0,28.0
7204,Blue,1,2460.0,2306.0,3750.0,1964.0
7206,Blue,1,-733.0,-783.0,972.0,-2812.0
7208,Blue,1,-400.0,-456.0,-414.0,-1538.0
7210,Blue,1,2491.0,1782.0,5181.0,3569.0
7212,Blue,0,-588.0,-1069.0,887.0,1332.0
7214,Blue,0,-2326.0,-2957.0,-5292.0,-4549.0
7216,Blue,0,-617.0,-141.0,-1889.0,-605.0
7218,Blue,0,-3700.0,-1288.0,-5254.0,-2531.0
7220,Blue,1,-158.0,414.0,1394.0,238.0
7222,Blue,0,-263.0,-354.0,-1041.0,-265.0
7224,Blue,1,1990.0,654.0,7148.0,4212.0
7226,Blue,1,527.0,1413.0,1216.0,2137.0
7228,Blue,0,508.0,1207.0,1669.0,2528.0
7230,Blue,0,-4429.0,-2223.0,-4838.0,-2307.0
7232,Blue,0,-3507.0,-2030.0,-6222.0,-3175.0
7234,Blue,0,-501.0,-1074.0,-1562.0,-357.0
7236,Blue,1,3698.0,3047.0,5216.0,2396.0
7238,Blue,1,1040.0,1060.0,1893.0,1165.0
7240,Blue,1,2496.0,1429.0,3524.0,1701.0
7242,Blue,0,82.0,849.0,1525.0,1384.0
7244,Blue,0,-39.0,180.0,919.0,997.0
7246,Blue,1,1831.0,1057.0,1396.0,1637.0
7248,Blue,0,3189.0,848.0,3006.0,-6.0
7250,Blue,0,502.0,-68.0,742.0,-1126.0
7252,Blue,1,-477.0,855.0,-84.0,1489.0
7254,Blue,0,1785.0,239.0,4977.0,2177.0
7256,Blue,1,2027.0,1796.0,3741.0,3521.0
7258,Blue,0,-1241.0,-629.0,-6459.0,-4150.0
7260,Blue,1,712.0,1010.0,2797.0,2780.0
7262,Blue,1,858.0,138.0,2003.0,1097.0
7264,Blue,1,119.0,-814.0,-196.0,-93.0
7266,Blue,0,1066.0,272.0,1058.0,-1071.0
7268,Blue,0,-1446.0,110.0,-6066.0,-3448.0
7270,Blue,0,-2347.0,-1202.0,-6118.0,-4341.0
7272,Blue,1,554.0,938.0,1000.0,2104.0
7274,Blue,1,-907.0,-759.0,-1264.0,913.0
7276,Blue,1,1271.0,869.0,3642.0,2392.0
7278,Blue,1,810.0,899.0,2111.0,391.0
7280,Blue,1,1028.0,1056.0,3264.0,1503.0
7282,Blue,1,-99.0,100.0,-345.0,-42.0
7284,Blue,0,-3093.0,-1420.0,-6425.0,-4333.0
7286,Blue,1,-141.0,1016.0,1907.0,-330.0
7288,Blue,0,-488.0,-987.0,-1440.0,-2537.0
7290,Blue,0,-3044.0,-2242.0,-4633.0,-4432.0
7292,Blue,0,705.0,820.0,940.0,3115.0
7294,Blue,1,2880.0,2817.0,5482.0,4494.0
7296,Blue,1,2057.0,188.0,4681.0,2061.0
7298,Blue,0,,,,
7300,Blue,0,-276.0,-211.0,-262.0,-1017.0
7302,Blue,1,-1067.0,1189.0,-541.0,1039.0
7304,Blue,1,1762.0,1203.0,1903.0,-155.0
7306,Blue,1,1998.0,2746.0,5337.0,4694.0
7308,Blue,0,-1180.0,-438.0,-1191.0,-319.0
7310,Blue,0,-2634.0,-1127.0,-3548.0,-2718.0
7312,Blue,1,919.0,-103.0,1812.0,1096.0
7314,Blue,1,1207.0,1136.0,5839.0,3552.0
7316,Blue,0,-1872.0,-1257.0,-6717.0,-5022.0
7318,Blue,1,1999.0,976.0,2791.0,291.0
7320,Blue,1,927.0,712.0,3508.0,3312.0
7322,Blue,0,-332.0,50.0,-1513.0,-1089.0
7324,Blue,1,-1084.0,-89.0,2028.0,1148.0
7326,Blue,1,2126.0,1345.0,3084.0,1528.0
7328,Blue,1,3705.0,2067.0,7184.0,3886.0
7330,Blue,0,757.0,-835.0,535.0,-6.0
7332,Blue,0,831.0,-633.0,-1273.0,-816.0
7334,Blue,0,-233.0,-301.0,-824.0,-2938.0
7336,Blue,1,875.0,711.0,-146.0,1799.0
7338,Blue,0,-1222.0,-1947.0,-1209.0,-1303.0
7340,Blue,0,1265.0,-813.0,-1502.0,-3654.0
7342,Blue,0,1119.0,-674.0,2506.0,-480.0
7344,Blue,1,,,,
7346,Blue,0,460.0,743.0,1698.0,1340.0
7348,Blue,0,-1354.0,-2140.0,-1647.0,-1855.0
7350,Blue,1,3989.0,1400.0,4026.0,1078.0
7352,Blue,1,-797.0,-112.0,-82.0,258.0
7354,Blue,1,1351.0,395.0,640.0,1151.0
7356,Blue,0,90.0,707.0,-586.0,-246.0
7358,Blue,0,481.0,1548.0,290.0,3392.0
7360,Blue,1,2646.0,2084.0,6671.0,3796.0
7362,Blue,0,-1160.0,-709.0,-2213.0,-2915.0
7364,Blue,0,270.0,-49.0,-1332.0,-557.0
7366,Blue,1,2342.0,2528.0,3320.0,3015.0
7368,Blue,0,730.0,194.0,1206.0,2404.0
7370,Blue,1,-602.0,-1063.0,991.0,432.0
7372,Blue,1,1371.0,787.0,2490.0,1157.0
7374,Blue,0,-382.0,-333.0,-1557.0,148.0
7376,Blue,1,-217.0,-56.0,185.0,1737.0
7378,Blue,1,649.0,296.0,2337.0,606.0
7380,Blue,1,2481.0,1572.0,7151.0,3868.0
7382,Blue,0,-732.0,-728.0,-827.0,666.0
7384,Blue,1,502.0,1107.0,-287.0,-579.0
7386,Blue,1,1433.0,1893.0,4549.0,2474.0
7388,Blue,0,-1288.0,-1219.0,-1921.0,-934.0
7390,Blue,1,-336.0,1328.0,1944.0,3036.0
7392,Blue,1,639.0,25.0,1491.0,909.0
7394,Blue,0,-1850.0,-2075.0,-4190.0,-2789.0
7396,Blue,1,-361.0,-1386.0,519.0,1215.0
7398,Blue,1,289.0,-199.0,644.0,-2542.0
7400,Blue,1,-376.0,-1390.0,1.0,-839.0
7402,Blue,0,-225.0,-458.0,-287.0,-692.0
7404,Blue,1,1879.0,1236.0,6078.0,4018.0
7406,Blue,0,-91.0,246.0,-936.0,1479.0
7408,Blue,1,244.0,-84.0,-242.0,-192.0
7410,Blue,1,2621.0,1632.0,4421.0,5942.0
7412,Blue,1,1235.0,1413.0,2881.0,1142.0
7414,Blue,1,1052.0,-209.0,911.0,129.0
7416,Blue,1,2775.0,1074.0,2883.0,869.0
7418,Blue,0,-36.0,-198.0,-310.0,-1066.0
7420,Blue,0,1138.0,-159.0,793.0,-409.0
7422,Blue,0,1052.0,37.0,2174.0,-181.0
7424,Blue,0,-1343.0,-497.0,-2641.0,-722.0
7426,Blue,1,983.0,266.0,3668.0,2255.0
7428,Blue,1,583.0,1087.0,662.0,2134.0
7430,Blue,1,2322.0,2054.0,1117.0,678.0
7432,Blue,0,-549.0,62.0,-1927.0,-2667.0
7434,Blue,1,3761.0,3325.0,6719.0,4573.0
7436,Blue,0,,,,
7438,Blue,1,-179.0,-627.0,2901.0,124.0
7440,Blue,1,,,,
7442,Blue,1,1478.0,901.0,3089.0,-658.0
7444,Blue,1,2795.0,907.0,9352.0,6124.0
7446,Blue,1,678.0,-61.0,3865.0,3030.0
7448,Blue,0,-1155.0,-769.0,-2117.0,-3229.0
7450,Blue,0,131.0,-613.0,-763.0,-761.0
7452,Blue,0,-2189.0,-2284.0,-5728.0,-6291.0
7454,Blue,0,18.0,-1032.0,760.0,-1291.0
7456,Blue,1,1958.0,1299.0,1400.0,2343.0
7458,Blue,1,2312.0,1041.0,5369.0,4246.0
7460,Blue,1,-2187.0,-133.0,-322.0,1939.0
7462,Blue,0,-235.0,330.0,2082.0,2006.0
7464,Blue,1,960.0,1075.0,3516.0,3672.0
7466,Blue,1,-163.0,867.0,-679.0,972.0
7468,Blue,0,-1065.0,555.0,-2954.0,-1540.0
7470,Blue,0,-1542.0,-1519.0,-2563.0,-857.0
7472,Blue,1,1188.0,60.0,1529.0,577.0
7474,Blue,1,-1165.0,-786.0,-603.0,602.0
7476,Blue,0,-1726.0,-1305.0,-3188.0,-1515.0
7478,Blue,1,737.0,706.0,53.0,-282.0
7480,Blue,1,-2210.0,-1417.0,-3521.0,-1617.0
7482,Blue,0,-1157.0,-1474.0,-1407.0,104.0
7484,Blue,1,3486.0,694.0,3120.0,-1658.0
7486,Blue,1,1434.0,335.0,3160.0,1299.0
7488,Blue,0,-1962.0,-1634.0,-7163.0,-7641.0
7490,Blue,0,1084.0,870.0,983.0,974.0
7492,Blue,0,-224.0,-558.0,-3123.0,-3410.0
7494,Blue,1,904.0,-844.0,3201.0,1028.0
7496,Blue,0,-902.0,-1093.0,-2929.0,-2272.0
7498,Blue,0,274.0,183.0,563.0,943.0
7500,Blue,0,1495.0,2302.0,315.0,-245.0
7502,Blue,1,3725.0,2095.0,11581.0,6547.0
7504,Blue,0,18.0,-569.0,-841.0,-727.0
7506,Blue,0,-816.0,14.0,-2928.0,113.0
7508,Blue,1,-253.0,277.0,1848.0,-144.0
7510,Blue,1,3586.0,1626.0,5561.0,4268.0
7512,Blue,1,-37.0,-1673.0,-793.0,-2399.0
7514,Blue,1,1095.0,705.0,3021.0,1396.0
7516,Blue,1,368.0,455.0,3064.0,2040.0
7518,Blue,1,-292.0,145.0,1048.0,2295.0
7520,Blue,1,2533.0,1826.0,7225.0,4028.0
7522,Blue,1,86.0,-858.0,-625.0,-2473.0
7524,Blue,1,-26.0,-7.0,1093.0,299.0
7526,Blue,1,449.0,483.0,479.0,1898.0
7528,Blue,1,-1586.0,-566.0,-2311.0,-360.0
7530,Blue,0,-993.0,-661.0,-2438.0,-446.0
7532,Blue,0,-846.0,-601.0,-2758.0,-1684.0
7534,Blue,1,-236.0,357.0,-918.0,1207.0
7536,Blue,0,-861.0,842.0,-1843.0,530.0
7538,Blue,0,159.0,80.0,32.0,350.0
7540,Blue,1,-470.0,357.0,984.0,198.0
7542,Blue,1,1767.0,1416.0,4216.0,3444.0
7544,Blue,1,3900.0,2852.0,4049.0,3147.0
7546,Blue,1,-416.0,205.0,720.0,-784.0
7548,Blue,1,-262.0,-745.0,970.0,-872.0
7550,Blue,1,-398.0,500.0,1929.0,932.0
7552,Blue,0,,,,
7554,Blue,1,832.0,1335.0,-56.0,848.0
7556,Blue,1,1153.0,-437.0,1739.0,91.0
7558,Blue,1,184.0,1591.0,2628.0,2242.0
7560,Blue,0,1580.0,1036.0,1093.0,1814.0
7562,Blue,1,172.0,15.0,2085.0,1476.0
7564,Blue,1,-208.0,-789.0,1663.0,12.0
7566,Blue,1,1681.0,1180.0,2526.0,1148.0
7568,Blue,0,44.0,154.0,951.0,1133.0
7570,Blue,1,2063.0,883.0,2953.0,2518.0
7572,Blue,1,-251.0,663.0,1134.0,1667.0
7574,Blue,1,743.0,31.0,720.0,917.0
7576,Blue,1,1193.0,266.0,1788.0,-689.0
7578,Blue,0,936.0,899.0,-646.0,949.0
7580,Blue,1,1404.0,-295.0,2121.0,94.0
7582,Blue,1,669.0,503.0,1007.0,2330.0
7584,Blue,0,323.0,-1560.0,847.0,-950.0
7586,Blue,1,381.0,-419.0,113.0,-1198.0
7588,Blue,0,-133.0,-658.0,-2646.0,-3683.0
7590,Blue,1,-610.0,-28.0,-1655.0,-862.0
7592,Blue,0,1108.0,399.0,3361.0,787.0
7594,Blue,0,-155.0,-598.0,242.0,908.0
7596,Blue,1,1455.0,185.0,2300.0,-1220.0
7598,Blue,0,238.0,868.0,441.0,-225.0
7600,Blue,0,-404.0,-1139.0,-2720.0,-3986.0
7602,Blue,1,1300.0,899.0,982.0,359.0
7604,Blue,1,1602.0,1736.0,1015.0,955.0
7606,Blue,1,-1065.0,-1683.0,-1587.0,-1262.0
7608,Blue,1,1028.0,821.0,1925.0,1339.0
7610,Blue,0,-420.0,-1263.0,-1473.0,-218.0
7612,Blue,0,536.0,1305.0,-775.0,-400.0
7614,Blue,0,996.0,468.0,1775.0,159.0
7616,Blue,0,-1080.0,134.0,216.0,-913.0
7618,Blue,1,476.0,289.0,1614.0,520.0
7620,Blue,0,790.0,890.0,2156.0,1886.0
7622,Blue,0,375.0,-1499.0,-1669.0,-3116.0
7624,Blue,1,-1206.0,-1366.0,-2069.0,-453.0
7626,Blue,1,-1446.0,-400.0,-2049.0,-1151.0
7628,Blue,0,-453.0,-1738.0,-1093.0,-2039.0
7630,Blue,1,1562.0,1087.0,3129.0,1181.0
7632,Blue,1,179.0,162.0,418.0,657.0
7634,Blue,1,1116.0,403.0,2415.0,2002.0
